"to_station_id","to_station_name","no_of_trips"
254,"Pine Grove Ave & Irving Park Rd",9360
255,"Indiana Ave & Roosevelt Rd",20521
256,"Broadway & Sheridan Rd",7922
257,"Lincoln Ave & Waveland Ave",4386
258,"Logan Blvd & Elston Ave",4413
259,"California Ave & Francis Pl",2865
259,"California Ave & Francis Pl (Temp)",595
260,"Kedzie Ave & Milwaukee Ave",10007
261,"Hermitage Ave & Polk St",4684
262,"Halsted St & 37th St",802
263,"Rhodes Ave & 32nd St",1905
264,"Stetson Ave & South Water St",10764
265,"Cottage Grove Ave & Oakwood Blvd",886
267,"Lake Park Ave & 47th St",2119
268,"Lake Shore Dr & North Blvd",42459
270,"Stony Island Ave & 75th St",154
271,"Cottage Grove Ave & 43rd St",791
272,"Indiana Ave & 31st St",3094
273,"Michigan Ave & 18th St",9741
274,"Racine Ave & 15th St",2056
275,"Ashland Ave & 13th St",2373
276,"California Ave & North Ave",3317
277,"Ashland Ave & Grand Ave",4653
278,"Wallace St & 35th St",1209
279,"Halsted St & 35th St",801
279,"Halsted St & 35th St (*)",447
280,"Morgan St & 31st St",1847
281,"Western Ave & 24th St",669
282,"Halsted St & Maxwell St",6975
283,"LaSalle St & Jackson Blvd",23617
284,"Michigan Ave & Jackson Blvd",15145
285,"Wood St & Hubbard St",3976
286,"Franklin St & Adams St (Temp)",5243
286,"Franklin St & Quincy St",5181
287,"Franklin St & Monroe St",29560
288,"Larrabee St & Armitage Ave",7343
289,"Wells St & Concord Ln",22400
290,"Kedzie Ave & Palmer Ct",3828
291,"Wells St & Evergreen Ave",14510
292,"Southport Ave & Clark St",2563
293,"Broadway & Wilson Ave",7889
294,"Broadway & Berwyn Ave",5739
295,"Broadway & Argyle St",5564
296,"Broadway & Belmont Ave",11612
297,"Paulina St & Montrose Ave",2520
298,"Lincoln Ave & Belle Plaine Ave",4499
299,"Halsted St & Roscoe St",11109
300,"Broadway & Barry Ave",18929
301,"Clark St & Schiller St",12215
302,"Sheffield Ave & Wrightwood Ave",8819
303,"Broadway & Cornelia Ave",12522
304,"Broadway & Waveland Ave",11337
305,"Western Ave & Division St",4553
306,"Sheridan Rd & Buena Ave",4433
307,"Southport Ave & Clybourn Ave",8906
308,"Seeley Ave & Roscoe St",3676
309,"Leavitt St & Armitage Ave",3684
310,"Damen Ave & Charleston St",4249
311,"Leavitt St & Lawrence Ave",2267
312,"Clarendon Ave & Gordon Ter",7669
313,"Lakeview Ave & Fullerton Pkwy",15251
314,"Ravenswood Ave & Berteau Ave",2958
315,"Elston Ave & Wabansia Ave",2743
316,"Damen Ave & Sunnyside Ave",2533
317,"Wood St & Taylor St",5647
318,"Southport Ave & Irving Park Rd",5348
319,"Greenview Ave & Diversey Pkwy",4355
320,"Loomis St & Lexington St",13156
321,"Wabash Ave & 9th St",12787
322,"Kimbark Ave & 53rd St",8574
323,"Sheridan Rd & Lawrence Ave",3772
324,"Stockton Dr & Wrightwood Ave",11589
325,"Clark St & Winnemac Ave",7763
326,"Clark St & Leland Ave",5411
327,"Sheffield Ave & Webster Ave",12555
328,"Ellis Ave & 58th St",5685
329,"Lake Shore Dr & Diversey Pkwy",12624
330,"Lincoln Ave & Addison St",2642
331,"Halsted St & Clybourn Ave",10047
331,"Halsted St & Clybourn Ave (*)",6122
332,"Burling St (Halsted) & Diversey Pkwy (Temp)",9823
333,"Ashland Ave & Blackhawk St",6642
334,"Lake Shore Dr & Belmont Ave",13751
335,"Calumet Ave & 35th St",1045
336,"Cottage Grove Ave & 47th St",916
337,"Clark St & Chicago Ave",9251
338,"Calumet Ave & 18th St",8234
339,"Emerald Ave & 31st St",3523
340,"Clark St & Wrightwood Ave",15951
341,"Adler Planetarium",15436
342,"Wolcott Ave & Polk St",8604
343,"Racine Ave & Wrightwood Ave",5306
344,"Ravenswood Ave & Lawrence Ave",14651
345,"Lake Park Ave & 56th St",5456
346,"Ada St & Washington Blvd",7852
347,"Ashland Ave & Grace St",4543
348,"California Ave & 21st St",1018
349,"Halsted St & Wrightwood Ave",9428
350,"Ashland Ave & Chicago Ave",5891
351,"Cottage Grove Ave & 51st St",821
352,"Jeffery Blvd & 67th St",322
353,"Clark St & Touhy Ave",426
354,"Sheridan Rd & Greenleaf Ave",1492
355,"South Shore Dr & 67th St",718
356,"Stony Island Ave & 71st St",216
359,"Larrabee St & Division St",8968
360,"DIVVY Map Frame B/C Station",94
361,"DIVVY CASSETTE REPAIR MOBILE STATION",5
363,"TS ~ DIVVY PARTS TESTING",2
364,"Larrabee St & Oak St",8396
365,"Halsted St & North Branch St",1585
366,"Loomis St & Archer Ave",1273
367,"Racine Ave & 35th St",878
368,"Ashland Ave & Archer Ave",524
369,"Wood St & 35th St",467
370,"Calumet Ave & 21st St",4223
373,"Kedzie Ave & Chicago Ave",872
374,"Western Ave & Walton St",6185
375,"Sacramento Blvd & Franklin Blvd",567
376,"Artesian Ave & Hubbard St",4229
377,"Kedzie Ave & Lake St",893
378,"California Ave & Lake St",781
381,"Western Ave & Monroe St",1757
382,"Western Ave & Congress Pkwy",1805
