old_name,new_id
Clarendon Ave & Gordon Ter,312
Lakeview Ave & Fullerton Pkwy,313
Ravenswood Ave & Berteau Ave,314
Elston Ave & Wabansia Ave,315
Damen Ave & Sunnyside Ave,316
Wood St & Taylor St (Temp),317
Southport Ave & Irving Park Rd,318
Greenview Ave & Diversey Pkwy,319
Loomis St & Lexington St,320
Wabash Ave & 9th St,321
Kimbark Ave & 53rd St,322
Sheridan Rd & Lawrence Ave,323
Stockton Dr & Wrightwood Ave,324
Clark St & Winnemac Ave,325
Clark St & Leland Ave,326
Sheffield Ave & Webster Ave,327
Ellis Ave & 58th St,328
DuSable Lake Shore Dr & Diversey Pkwy,329
Lake Shore Dr & Diversey Pkwy,329
Lincoln Ave & Addison St,330
Burling St & Diversey Pkwy,332
Ashland Ave & Blackhawk St,333
DuSable Lake Shore Dr & Belmont Ave,334
Lake Shore Dr & Belmont Ave,334
Calumet Ave & 35th St,335
Cottage Grove Ave & 47th St,336
Clark St & Chicago Ave,337
Calumet Ave & 18th St,338
Emerald Ave & 31st St,339
Clark St & Wrightwood Ave,340
Adler Planetarium,341
Wolcott Ave & Polk St,342
Racine Ave & Wrightwood Ave,343
Ravenswood Ave & Lawrence Ave,344
Lake Park Ave & 56th St,345
Ada St & Washington Blvd,346
Ashland Ave & Grace St,347
California Ave & 21st St,348
Halsted St & Wrightwood Ave,349
Ashland Ave & Chicago Ave,350
Cottage Grove Ave & 51st St,351
Jeffery Blvd & 67th St,352
Clark St & Touhy Ave,353
Sheridan Rd & Greenleaf Ave,354
South Shore Dr & 67th St,355
Stony Island Ave & 71st St,356
Larrabee St & Division St,359
Larrabee St & Oak St,364
Halsted St & North Branch St,365
Loomis St & Archer Ave,366
Racine Ave & 35th St,367
Ashland Ave & Archer Ave,368
Wood St & 35th St,369
Calumet Ave & 21st St,370
Kedzie Ave & Chicago Ave,373
Western Ave & Walton St,374
Sacramento Blvd & Franklin Blvd,375
Artesian Ave & Hubbard St,376
Kedzie Ave & Lake St,377
California Ave & Lake St,378
Western Ave & Monroe St,381
Western Ave & Congress Pkwy,382
Paulina St & Flournoy St,383
Halsted St & 51st St,384
Princeton Ave & Garfield Blvd,385
Halsted St & 56th St,386
Halsted & 63rd - Kennedy-King Vaccination Site,388
Halsted St & 63rd St,388
Wentworth Ave & 63rd St,390
Halsted St & 69th St,391
Perry Ave & 69th St,392
Calumet Ave & 71st St,393
Clark St & 9th St (AMLI),394
Jeffery Blvd & 76th St,395
Yates Blvd & 75th St,396
Rainbow Beach,398
South Shore Dr & 74th St,399
Cottage Grove Ave & 71st St,400
Shields Ave & 28th Pl,401
Shields Ave & 31st St,402
Wentworth Ave & 33rd St,403
Wentworth Ave & 35th St,405
Lake Park Ave & 35th St,406
State St & Pershing Rd,407
Union Ave & Root St,408
Shields Ave & 43rd St,409
Prairie Ave & 43rd St,410
Halsted St & 47th Pl,411
Princeton Ave & 47th St,412
Woodlawn Ave & Lake Park Ave,413
Canal St & Taylor St,414
Calumet Ave & 51st St,415
Dorchester Ave & 49th St,416
Cornell Ave & Hyde Park Blvd,417
Ellis Ave & 53rd St,418
Lake Park Ave & 53rd St,419
Ellis Ave & 55th St,420
MLK Jr Dr & 56th St,421
DuSable Museum,422
University Ave & 57th St,423
Museum of Science and Industry,424
Harper Ave & 59th St,425
Ellis Ave & 60th St,426
Cottage Grove Ave & 63rd St,427
Dorchester Ave & 63rd St,428
Cottage Grove Ave & 67th St,429
MLK Jr Dr & 63rd St,430
Eberhart Ave & 61st St,431
Clark St & Lunt Ave,432
Kedzie Ave & Harrison St,433
Ogden Ave & Roosevelt Rd,434
Kedzie Ave & Roosevelt Rd,435
Fairfield Ave & Roosevelt Rd,436
Washtenaw Ave & Ogden Ave,437
Central Park Ave & Ogden Ave,438
Kedzie Ave & 21st St,439
Central Park Ave & 24th St,440
Kedzie Ave & 24th St,441
California Ave & 23rd Pl,442
Millard Ave & 26th St,443
Albany Ave & 26th St,444
California Ave & 26th St,445
Western & 28th - Velasquez Institute Vaccination Site,446
Western Ave & 28th St,446
Glenwood Ave & Morse Ave,447
Warren Park East,448
Clark St & Columbia Ave,449
Warren Park West,450
Sheridan Rd & Loyola Ave,451
Western Ave & Granville Ave,452
Clark St & Schreiber Ave,453
Broadway & Granville Ave,454
Maplewood Ave & Peterson Ave,455
2112 W Peterson Ave,456
Clark St & Elmdale Ave,457
Broadway & Thorndale Ave,458
Lakefront Trail & Bryn Mawr Ave,459
Clark St & Bryn Mawr Ave,460
Broadway & Ridge Ave,461
Winchester (Ravenswood) Ave & Balmoral Ave,462
Clark St & Berwyn Ave,463
Damen Ave & Foster Ave,464
Marine Dr & Ainslie St,465
Ridge Blvd & Touhy Ave,466
Western Ave & Lunt Ave,467
Budlong Woods Library,468
St. Louis Ave & Balmoral Ave,469
Kedzie Ave & Foster Ave,470
Francisco Ave & Foster Ave,471
Lincoln Ave & Winona St,472
Christiana Ave & Lawrence Ave,474
Washtenaw Ave & Lawrence Ave,475
Kedzie Ave & Leland Ave,476
Manor Ave & Leland Ave,477
Rockwell St & Eastwood Ave,478
Drake Ave & Montrose Ave,479
Albany Ave & Montrose Ave,480
California Ave & Montrose Ave,481
Campbell Ave & Montrose Ave,482
Avondale Ave & Irving Park Rd,483
Monticello Ave & Irving Park Rd,484
Sawyer Ave & Irving Park Rd,485
Oakley Ave & Irving Park Rd,486
California Ave & Byron St,487
Pulaski Rd & Eddy St (Temp),488
Drake Ave & Addison St,489
Troy St & Elston Ave,490
Talman Ave & Addison St,491
Leavitt St & Addison St,492
Western Ave & Roscoe St,493
Kedzie Ave & Bryn Mawr Ave,494
Keystone Ave & Montrose Ave,495
Avers Ave & Belmont Ave,496
Kimball Ave & Belmont Ave,497
California Ave & Fletcher St,498
Kosciuszko Park,499
Central Park Ave & Elbridge Ave,500
Richmond St & Diversey Ave,501
California Ave & Altgeld St,502
St. Louis Ave & Fullerton Ave,503
Campbell Ave & Fullerton Ave,504
Winchester Ave & Elston Ave,505
Spaulding Ave & Armitage Ave,506
Humboldt Blvd & Armitage Ave,507
Central Park Ave & North Ave,508
Troy St & North Ave,509
Spaulding Ave & Division St,510
Albany Ave & Bloomingdale Ave,511
Bosworth Ave & Howard St,522
Austin Blvd & Chicago Ave,524
Oakley Ave & Touhy Ave,526
Cicero Ave & Lake St,529
Central Ave & Lake St,531
Austin Blvd & Lake St,532
Central Park Blvd & 5th Ave,533
Cicero Ave & Flournoy St,538
Cicero Ave & Quincy St,539
Central Ave & Harrison St,541
Central Ave & Madison St,542
Austin Blvd & Madison St,544
Ashland Ave & Pershing Rd,547
Morgan St & Pershing Rd,548
Central Ave & Chicago Ave,550
Hoyne Ave & 47th St,551
Ashland Ave & McDowell Ave,552
Ashland Ave & 50th St,555
Ashland Ave & Garfield Blvd,558
Ashland Ave & 63rd St,563
Ashland Ave & 66th St,565
Vincennes Ave & 75th St,568
Bennett Ave & 79th St,578
Commercial Ave & 83rd St,581
Milwaukee Ave & Cuyler Ave,589
Kilbourn Ave & Milwaukee Ave,591
Chicago Ave & Washington St,597
Central St Metra,601
Central St & Girard Ave,602
Chicago Ave & Sheridan Rd,603
Keystone Ave & Fullerton Ave,619
Aberdeen St & Randolph St,621
California Ave & Cortez St,622
Dodge Ave & Main St,625
Delano Ct & Roosevelt Rd,626
LaSalle Dr & Huron St,627
Walsh Park,628
Kildare Ave & Montrose Ave,630
Fairbanks St & Superior St,635
Bernard St & Elston Ave,640
Central Park Ave & Bloomingdale Ave,641
Archer (Damen) Ave & 37th St,645
Carpenter St & 63rd St,648
Michigan Ave & 71st St,651
Damen Ave & Walnut (Lake) St,656
Leavitt St & Chicago Ave,659
