old_name,new_name
Lake Shore Dr & Wellington Ave,DuSable Lake Shore Dr & Wellington Ave
MLK Jr Dr & Oakwood Blvd,MLK Jr Dr & Pershing Rd
Damen Ave & Augusta Blvd,Damen Ave & Thomas St (Augusta Blvd)
Canal St & Monroe St (*),Canal St & Monroe St
Green St (Halsted St) & Madison St,Green St & Madison St
Halsted St & Madison St,Green St & Madison St
Ashland Ave & 21st St,Laflin St & Cullerton St
St Clair St & Erie St,St. Clair St & Erie St
Orleans St & Ohio St,Wells St & Hubbard St
May St & Fulton St,Elizabeth (May) St & Fulton St
Racine Ave (May St) & Fulton St,Elizabeth (May) St & Fulton St
Hampden Ct & Diversey Pkwy,Clark St & Drummond Pl
Sangamon St & Washington Blvd (*),Sangamon St & Washington Blvd
Ravenswood Ave & Montrose Ave,Wolcott (Ravenswood) Ave & Montrose Ave
Ravenswood Ave & Montrose Ave (*),Wolcott (Ravenswood) Ave & Montrose Ave
Wolcott (Ravenswood) Ave & Montrose Ave (*),Wolcott (Ravenswood) Ave & Montrose Ave
Lincoln Ave & Leavitt St,Lincoln Ave & Sunnyside Ave
Shore Drive & 55th St,Shore Dr & 55th St
Clifton Ave & Lawrence Ave,Winthrop Ave & Lawrence Ave
California Ave & Francis Pl,California Ave & Francis Pl (Temp)
Lake Shore Dr & North Blvd,DuSable Lake Shore Dr & North Blvd
Michigan Ave & 16th St,Michigan Ave & 18th St
Wallace Ave & 35th St,Wallace St & 35th St
Halsted St & 35th St (*),Halsted St & 35th St
Wood St & Grand Ave,Wood St & Hubbard St
Franklin St & Quincy St,Franklin St & Adams St (Temp)
Franklin St & Arcade Pl,Franklin St & Monroe St
Wells St & Concord Pl,Wells St & Concord Ln
Broadway & Wilson Ave,Broadway & Wilson - Truman College Vaccination Site
Halsted St & Waveland Ave,Broadway & Waveland Ave
Leavitt St & Hirsch St,Elston Ave & Wabansia Ave
Wood St & Taylor St,Wood St & Taylor St (Temp)
Wabash Ave & 8th St,Wabash Ave & 9th St
Clark St & Winnemac Ave (Temp),Clark St & Winnemac Ave
Lake Shore Dr & Diversey Pkwy,DuSable Lake Shore Dr & Diversey Pkwy
Halsted St & Blackhawk St,Halsted St & Clybourn Ave
Halsted St & Blackhawk St (*),Halsted St & Clybourn Ave
Halsted St & Clybourn Ave (*),Halsted St & Clybourn Ave
Burling St (Halsted) & Diversey Pkwy (Temp),Burling St & Diversey Pkwy
Halsted St & Diversey Pkwy,Burling St & Diversey Pkwy
Lake Shore Dr & Belmont Ave,DuSable Lake Shore Dr & Belmont Ave
Ashland Ave & Harrison St,Paulina St & Flournoy St
Princeton Ave & 31st St,Shields Ave & 31st St
Union Ave & 42nd St,Union Ave & Root St
Princeton Ave & China Pl,Canal St & Taylor St
Cornell Ave & Hyde Park B lvd,Cornell Ave & Hyde Park Blvd
MLK Jr Dr & 56th St (*),MLK Jr Dr & 56th St
California Ave & Roosevelt Rd,Fairfield Ave & Roosevelt Rd
Washtenaw Ave & 15th St,Washtenaw Ave & Ogden Ave
Washtenaw Ave & 15th St (*),Washtenaw Ave & Ogden Ave
Washtenaw Ave & Ogden Ave (*),Washtenaw Ave & Ogden Ave
Lawndale Ave & 23rd St,Central Park Ave & 24th St
Western Ave & 28th St,Western & 28th - Velasquez Institute Vaccination Site
Ravenswood Ave & Balmoral Ave,Winchester (Ravenswood) Ave & Balmoral Ave
Albany (Kedzie) Ave & Montrose Ave,Albany Ave & Montrose Ave
Kedzie Ave & Montrose Ave,Albany Ave & Montrose Ave
Keeler Ave & Irving Park Rd,Avondale Ave & Irving Park Rd
Pulaksi Rd & Eddy St,Pulaski Rd & Eddy St (Temp)
Pulaski Rd & Eddy St,Pulaski Rd & Eddy St (Temp)
Oakley Ave & Roscoe St,Western Ave & Roscoe St
Drake Ave & Fullerton Ave,St. Louis Ave & Fullerton Ave
Pulaski Rd & Madison St,Karlov Ave & Madison St
Mason Ave & Madison St,Austin Blvd & Madison St
Damen Ave & Garfield Blvd,Seeley Ave & Garfield Blvd
Damen Ave & 61st St,Damen Ave & 59th St
Ashland Ave & 69th St,Damen Ave & 74th St
Eberhart (Vernon) Ave & 79th St,Vernon Ave & 79th St
Chappel Ave & 79th St,Bennett Ave & 79th St
Phillips Ave & 82nd St,Phillips Ave & 83rd St
Dearborn St & Van Buren St (*),Dearborn St & Van Buren St
Chicago Ave & Dempster St,Dodge Ave & Main St
LaSalle Dr & Huron St (*),LaSalle Dr & Huron St
Malcolm X College,Malcolm X College Vaccination Site
Fairbanks St & Superior St (*),Fairbanks St & Superior St
Orleans St & Hubbard St (*),Orleans St & Hubbard St
Wood St & Chicago Ave (*),Wood St & Chicago Ave
Clinton St & Jackson Blvd (*),Clinton St & Jackson Blvd
Smith Park (*),Smith Park
Western Ave & Fillmore St (*),Western Ave & Fillmore St
Archer (Damen) Ave & 37th St (*),Archer (Damen) Ave & 37th St
Stewart Ave & 63rd St (*),Stewart Ave & 63rd St
Eggleston Ave & 69th St (*),Eggleston Ave & 69th St
Racine Ave & Washington Blvd (*),Racine Ave & Washington Blvd
Damen Ave & Walnut (Lake) St (*),Damen Ave & Walnut (Lake) St
Leavitt St & Division St (*),Leavitt St & Division St
Leavitt St & Belmont Ave (*),Leavitt St & Belmont Ave
